id,eui,timestamp,data,humidity,batt,temperature
51432,3430363071377D14,2018/5/16 19:08:03,00d0003464,100,96,5.2
51446,3430363071377D14,2018/5/16 19:11:03,00d0003364,100,96,5.1
51458,3430363071377D14,2018/5/16 19:14:03,00d0003164,100,96,4.9
51470,3430363071377D14,2018/5/16 19:17:03,00d0003164,100,96,4.9
51482,3430363071377D14,2018/5/16 19:20:03,00d0003064,100,96,4.8
51495,3430363071377D14,2018/5/16 19:23:03,00d0003063,99,96,4.8
51548,3430363071377D14,2018/5/16 19:38:03,00d0002d63,99,96,4.5
51560,3430363071377D14,2018/5/16 19:41:03,00d0002c63,99,96,4.4
51572,3430363071377D14,2018/5/16 19:44:03,00d0002b62,98,96,4.3
51584,3430363071377D14,2018/5/16 19:47:03,00d0002b62,98,96,4.3
51596,3430363071377D14,2018/5/16 19:50:03,00d0002a62,98,96,4.2
51609,3430363071377D14,2018/5/16 19:53:03,00d0002e63,99,96,4.6
51620,3430363071377D14,2018/5/16 19:56:03,00d0002b62,98,96,4.3
51632,3430363071377D14,2018/5/16 19:59:03,00d0002761,97,96,3.9
51644,3430363071377D14,2018/5/16 20:02:03,00cf00255f,95,94,3.7
51656,3430363071377D14,2018/5/16 20:05:03,00d000225d,93,96,3.4
51669,3430363071377D14,2018/5/16 20:08:03,00cf00205b,91,94,3.2
51681,3430363071377D14,2018/5/16 20:11:03,00cf001e5a,90,94,3
51694,3430363071377D14,2018/5/16 20:14:03,00cf001b58,88,94,2.7
51706,3430363071377D14,2018/5/16 20:17:03,00d0001957,87,96,2.5
51718,3430363071377D14,2018/5/16 20:20:03,00cf001756,86,94,2.3
51729,3430363071377D14,2018/5/16 20:23:03,00cf001654,84,94,2.2
51741,3430363071377D14,2018/5/16 20:26:03,00cf001453,83,94,2
51754,3430363071377D14,2018/5/16 20:29:03,00cf001251,81,94,1.8
51767,3430363071377D14,2018/5/16 20:32:03,00cf00104f,79,94,1.6
51779,3430363071377D14,2018/5/16 20:35:03,00cf000f4e,78,94,1.5
51791,3430363071377D14,2018/5/16 20:38:03,00cf000d4d,77,94,1.3
51804,3430363071377D14,2018/5/16 20:41:03,00cf000b4c,76,94,1.1
51816,3430363071377D14,2018/5/16 20:44:03,00cf000a4b,75,94,1
51828,3430363071377D14,2018/5/16 20:47:03,00cf00084b,75,94,0.8
51839,3430363071377D14,2018/5/16 20:50:03,00cf00074a,74,94,0.7
51851,3430363071377D14,2018/5/16 20:53:03,00cf00064a,74,94,0.6
51864,3430363071377D14,2018/5/16 20:56:03,00cf000549,73,94,0.5
51877,3430363071377D14,2018/5/16 20:59:03,00cf000449,73,94,0.4
51890,3430363071377D14,2018/5/16 21:02:03,00ce000349,73,92,0.3
51904,3430363071377D14,2018/5/16 21:05:03,00ce000248,72,92,0.2
51916,3430363071377D14,2018/5/16 21:08:03,00ce000651,81,92,0.6
51929,3430363071377D14,2018/5/16 21:11:03,00ce000d56,86,92,1.3
51942,3430363071377D14,2018/5/16 21:14:03,00cf001159,89,94,1.7
51956,3430363071377D14,2018/5/16 21:17:03,00cf00155b,91,94,2.1
51969,3430363071377D14,2018/5/16 21:20:03,00ce00175c,92,92,2.3
51981,3430363071377D14,2018/5/16 21:23:03,00ce00195d,93,92,2.5
51994,3430363071377D14,2018/5/16 21:26:03,00cf001b5d,93,94,2.7
52008,3430363071377D14,2018/5/16 21:29:03,00cf001e5e,94,94,3
52021,3430363071377D14,2018/5/16 21:32:03,00cf002160,96,94,3.3
52034,3430363071377D14,2018/5/16 21:35:03,00cf002461,97,94,3.6
52045,3430363071377D14,2018/5/16 21:38:03,00cf002761,97,94,3.9
52057,3430363071377D14,2018/5/16 21:41:03,00cf002762,98,94,3.9
52070,3430363071377D14,2018/5/16 21:44:03,00cf002a62,98,94,4.2
52083,3430363071377D14,2018/5/16 21:47:03,00cf002b63,99,94,4.3
52096,3430363071377D14,2018/5/16 21:50:03,00cf002d63,99,94,4.5
52109,3430363071377D14,2018/5/16 21:53:03,00cf002e63,99,94,4.6
52122,3430363071377D14,2018/5/16 21:56:03,00cf003063,99,94,4.8
52133,3430363071377D14,2018/5/16 21:59:03,00cf003163,99,94,4.9
52146,3430363071377D14,2018/5/16 22:02:03,00cf003263,99,94,5
52160,3430363071377D14,2018/5/16 22:05:03,00cf003363,99,94,5.1
52172,3430363071377D14,2018/5/16 22:08:03,00cf002e61,97,94,4.6
52185,3430363071377D14,2018/5/16 22:11:03,00cf00295f,95,94,4.1
52196,3430363071377D14,2018/5/16 22:14:03,00cf00255c,92,94,3.7
52209,3430363071377D14,2018/5/16 22:17:03,00cf002157,87,94,3.3
52221,3430363071377D14,2018/5/16 22:20:03,00cf001f53,83,94,3.1
52233,3430363071377D14,2018/5/16 22:23:03,00cf001c50,80,94,2.8
52256,3430363071377D14,2018/5/16 22:26:03,00cf001f58,88,94,3.1
52255,3430363071377D14,2018/5/16 22:29:03,00cf002158,88,94,3.3
52269,3430363071377D14,2018/5/16 22:32:03,00cf001f54,84,94,3.1
52282,3430363071377D14,2018/5/16 22:35:03,00cf001d50,80,94,2.9
52294,3430363071377D14,2018/5/16 22:38:03,00cf001a4e,78,94,2.6
52306,3430363071377D14,2018/5/16 22:41:03,00cf00184c,76,94,2.4
52318,3430363071377D14,2018/5/16 22:44:03,00cf00174a,74,94,2.3
52329,3430363071377D14,2018/5/16 22:47:03,00cf001549,73,94,2.1
52342,3430363071377D14,2018/5/16 22:50:03,00cf001349,73,94,1.9
52354,3430363071377D14,2018/5/16 22:53:03,00cf001148,72,94,1.7
52367,3430363071377D14,2018/5/16 22:56:03,00cf001048,72,94,1.6
52379,3430363071377D14,2018/5/16 22:59:03,00cf000f48,72,94,1.5
52391,3430363071377D14,2018/5/16 23:02:03,00cf000d47,71,94,1.3
52403,3430363071377D14,2018/5/16 23:05:03,00cf000c47,71,94,1.2
52415,3430363071377D14,2018/5/16 23:08:03,00cf000b47,71,94,1.1
52426,3430363071377D14,2018/5/16 23:11:03,00cf000a47,71,94,1
52440,3430363071377D14,2018/5/16 23:14:03,00cf000a49,73,94,1
52453,3430363071377D14,2018/5/16 23:17:03,00cf001251,81,94,1.8
52466,3430363071377D14,2018/5/16 23:20:03,00cf001655,85,94,2.2
52480,3430363071377D14,2018/5/16 23:23:03,00cf001a58,88,94,2.6
52491,3430363071377D14,2018/5/16 23:26:03,00cf001d5b,91,94,2.9
52504,3430363071377D14,2018/5/16 23:29:03,00cf00205d,93,94,3.2
52517,3430363071377D14,2018/5/16 23:32:03,00cf00225e,94,94,3.4
52528,3430363071377D14,2018/5/16 23:35:03,00cf00255f,95,94,3.7
52541,3430363071377D14,2018/5/16 23:38:03,00cf00275f,95,94,3.9
52553,3430363071377D14,2018/5/16 23:41:03,00cf002760,96,94,3.9
52566,3430363071377D14,2018/5/16 23:44:03,00cf002960,96,94,4.1
52578,3430363071377D14,2018/5/16 23:47:03,00cf002b60,96,94,4.3
52590,3430363071377D14,2018/5/16 23:50:03,00cf002c60,96,94,4.4
52603,3430363071377D14,2018/5/16 23:53:03,00cf002e61,97,94,4.6
52615,3430363071377D14,2018/5/16 23:56:03,00cf002f61,97,94,4.7
52627,3430363071377D14,2018/5/16 23:59:03,00cf003061,97,94,4.8
52651,3430363071377D14,2018/5/17 00:05:03,00cf002d5e,94,94,4.5
52664,3430363071377D14,2018/5/17 00:08:03,00d000275b,91,96,3.9
52677,3430363071377D14,2018/5/17 00:11:03,00cf002356,86,94,3.5
52699,3430363071377D14,2018/5/17 00:17:03,00cf001d4d,77,94,2.9
52712,3430363071377D14,2018/5/17 00:20:03,00cf001a4a,74,94,2.6
52724,3430363071377D14,2018/5/17 00:23:03,00cf001849,73,94,2.4
