ʱ��,�׼�¼,ĩ��¼,�յ���¼,Ӧ�ռ�¼,������
2018/12/22 Сʱ: 9,2018-12-22 09:01:00,2018-12-22 09:55:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 10,2018-12-22 10:01:00,2018-12-22 10:57:00,10.0,29.0,0.6551724137931034
2018/12/22 Сʱ: 11,2018-12-22 11:02:00,2018-12-22 11:55:00,9.0,28.0,0.6785714285714286
2018/12/22 Сʱ: 12,2018-12-22 12:02:00,2018-12-22 12:56:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 13,2018-12-22 13:02:00,2018-12-22 13:55:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 14,2018-12-22 14:02:00,2018-12-22 14:53:00,9.0,27.0,0.6666666666666667
2018/12/22 Сʱ: 15,2018-12-22 15:00:00,2018-12-22 15:59:00,11.0,31.0,0.6451612903225806
2018/12/22 Сʱ: 16,2018-12-22 16:05:00,2018-12-22 16:54:00,9.0,26.0,0.6538461538461539
2018/12/22 Сʱ: 17,2018-12-22 17:01:00,2018-12-22 17:55:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 18,2018-12-22 18:01:00,2018-12-22 18:59:00,9.0,30.0,0.7
2018/12/22 Сʱ: 19,2018-12-22 19:05:00,2018-12-22 19:54:00,9.0,26.0,0.6538461538461539
2018/12/22 Сʱ: 20,2018-12-22 20:01:00,2018-12-22 20:58:00,10.0,30.0,0.6666666666666667
2018/12/22 Сʱ: 21,2018-12-22 21:04:00,2018-12-22 21:57:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 22,2018-12-22 22:03:00,2018-12-22 22:59:00,10.0,29.0,0.6551724137931034
2018/12/22 Сʱ: 23,2018-12-22 23:06:00,2018-12-22 23:59:00,10.0,28.0,0.6428571428571428
2018/12/23 Сʱ: 0,2018-12-23 00:05:00,2018-12-23 00:59:00,10.0,28.0,0.6428571428571428
2018/12/23 Сʱ: 1,2018-12-23 01:06:00,2018-12-23 01:54:00,9.0,25.0,0.64
2018/12/23 Сʱ: 2,2018-12-23 02:00:00,2018-12-23 02:59:00,11.0,31.0,0.6451612903225806
2018/12/23 Сʱ: 3,2018-12-23 03:05:00,2018-12-23 03:54:00,9.0,26.0,0.6538461538461539
2018/12/23 Сʱ: 4,2018-12-23 04:01:00,2018-12-23 04:56:00,11.0,29.0,0.6206896551724138
2018/12/23 Сʱ: 5,2018-12-23 05:01:00,2018-12-23 05:55:00,10.0,28.0,0.6428571428571428
2018/12/23 Сʱ: 6,2018-12-23 06:00:00,2018-12-23 06:55:00,9.0,29.0,0.6896551724137931
2018/12/23 Сʱ: 7,2018-12-23 07:01:00,2018-12-23 07:55:00,10.0,28.0,0.6428571428571428
2018/12/23 Сʱ: 8,2018-12-23 08:00:00,2018-12-23 08:53:00,10.0,28.0,0.6428571428571428
2018/12/23 Сʱ: 9,2018-12-23 09:00:00,2018-12-23 09:55:00,10.0,29.0,0.6551724137931034
2018/12/23 Сʱ: 10,2018-12-23 10:00:00,2018-12-23 10:54:00,10.0,28.0,0.6428571428571428
2018/12/23 Сʱ: 11,2018-12-23 11:00:00,2018-12-23 11:56:00,10.0,29.0,0.6551724137931034
2018/12/23 Сʱ: 12,2018-12-23 12:02:00,2018-12-23 12:56:00,10.0,28.0,0.6428571428571428
